Comentários,Document Title,Authors,Publication Year,Abstract,PDF Link,Author Keywords,IEEE Terms,Count,Document Identifier,,Dados Utilizados,Técnicas Empregadas,Tipo de Trabalho,Contribuição de Trabalho
1,Comparative Study of Algorithms to Predict the Desertion in the Students at the ITSM-Mexico,A. G. Hernandez Gonzalez; R. A. Melendez Armenta; L. A. Morales Rosales; A. Garcia Barrientos; J. L. Tecpanecatl Xihuitl; I. Algredo,2016,"In this paper, a comparative study of predicting student dropout risks at the ITSM-Mexico (Instituto Tecnologico Superior de Misantla-Mexico) using SQL server is presented. This system uses the personal and academic information from the students at the ITSM. The comparative study is using four algorithms: logistic regression, clustering, decision trees and neuronal network, these take account the information in the database of the control school system of the institute. The results show that the logistic regression algorithm has a good agreement with experimental results.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795831,Algorithms;clustering;decision trees;logistic regression;neuronal network,Servers;Predictive models;Silicon compounds;Logistics;IEEE transactions;Prediction algorithms;Clustering algorithms,8,IEEE Journals,,"Ensino Superior, Socioeconômicos","Logistic Regression, Decision Tree, Neural Network",Avaliação,Modelo
2,Comparison of Machine Learning Methods for Early Detection of Student Dropouts,E. S. Karabacak; Y. Yaslan,2023,"One of the major issues in Educational Artificial Intelligence is detecting university student dropouts. Student dropout prediction is a growing research area since dropouts have financial, social, and national consequences. To deal with this issue, we examined the performance of ten machine learning algorithms with different feature sets in predicting university student dropout. Used algorithms are: Decision Trees, K-Nearest Neighbors, Naïve Bayes, Logistic Regression, Stacking Classifier, Adaboost, XGBoost, Random Forest, Support Vector Machines, and Multi Layer Perceptrons. The Synthetic Minority Oversampling Technique (SMOTE) balancing algorithm is used in the training process, to balance training data since the used dataset has an imbalanced nature. On the student dataset from Tecnologico de Monterrey in Mexico, we obtained 92 % accuracy on the XGBoost algorithm with a sub-feature set. We showed that the selected data features are as important as the selected method. Considering different performance metrics other than accuracy for imbalanced data is important. Having economic and historical score data increases accuracy. We also have seen that XGBoost and Random Forrest algorithms were the best for this task.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10286747,machine learning;university dropout;student dropout prediction;educational data mining,Support vector machines;Measurement;Machine learning algorithms;Computational modeling;Biological system modeling;Stacking;Prediction algorithms,2,IEEE Conferences,,"Ensino Superior, Socioeconômicos","Decision Tree, KNN, Naive Bayes, Logistic Regression, XGBoost, Random Forest, Support Vector Machine, Multi Layer Perceptrons",Avaliação,Processo
1,"Comparison of Neural Network with Gradient Boosted Trees, Random Forest, Logistic Regression and SVM in predicting student achievement",M. Domladovac,2021,"Student success is paramount at all levels of education, especially for universities. Improving the success and quality of enrolled students is one of the most important concerns. It is important to observe the initial symptoms of students at risk and implement earlier preventive measures to determine the cause of the student dropout rate. In this research, we will use data mining techniques to identify the factors that affect student success. We will use the data consisting of log data and grades from students from a course at the University of Zagreb, Faculty of Organization and Informatics in Croatia. We will use the data that consists of log data and grades of students from a course at the University of Zagreb, Faculty of Organization and Informatics in Croatia. In this study, machine learning methods are used to evaluate the performance of deep learning compared to traditional machine learning methods in the task of binary classification of whether a student fails or passes the exam. The results show that the deep neural network has a very good performance, the second-best, and with the optimizations, there are many opportunities for even better generalization.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9596684,deep learning;machine learning;student performance prediction;moodle;classification,Deep learning;Support vector machines;Neural networks;Organizations;Informatics;Task analysis;Regression tree analysis,2,IEEE Conferences,,Ensino Superior,"Neural Network, XGBoost, Logistic Regression, Random Forest, Support Vector Machine",Avaliação,Modelo
2,Comparison of Resampling Techniques for Imbalanced Datasets in Student Dropout Prediction,S. W. Masood; S. A. Begum,2022,"One of the challenges in the Student Dropout Prediction (SDP) problem is imbalanced data, which reduces the efficiency of the Machine Learning (ML) classifier when predicting dropout students. The disproportionate distribution of samples between the majority class (more samples) and the minority class (fewer samples) causes the class imbalance problem, which is a significant challenge in classification problems. When a dataset is highly imbalanced, the ML classifiers give high accuracy as they learn mostly from the majority class. Hence, the accuracy may not always give correct insight about the trained model. In this paper, the findings of the study of several resampling techniques for handling imbalanced data at the data preprocessing level are presented. The Machine learning algorithms, viz. Logistic Regression and Support Vector Machine (SVM), over different performance evaluation metrics for binary classification problems, have been used in the present study to predict the minority class. It is found that the Area Under Curve (AUC) score gives the most reliable result amongst the other considered metrics for predicting the minority class, i.e., the dropout rate of the students.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10028915,Student Dropout Prediction;Machine learning;Classification;Data Imbalance;Resampling;Evaluation metrics,Support vector machines;Performance evaluation;Machine learning algorithms;Data preprocessing;Machine learning;Data models;Reliability,3,IEEE Conferences,,"Ensino Médio, Socioeconômicos","Logistic Regression, Support Vector Machine",Avaliação,Modelo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística),Dropout Prediction of University Students in Bangladesh using Machine Learning,T. Akter; U. Ayman; N. R. Chakraborty; D. A. Islam; A. Mazumder; M. H. I. Bijoy,2024,"A significant concern in universities is student dropout, which reflects the institution's quality and affects its reputation and the students' future careers. High dropout rates can directly impact a private university's budget, marketing strategy, and sustainability. Therefore, it is crucial to improve the quality of higher education, reduce student dropout rates, and enhance academic planning. Analyzing dropout patterns is essential for effective management. This study aims to predict dropout rates of university student in Bangladesh by using various machine learning techniques. In order to create a machine learning model for forecasting the dropout rate of students, we used seven well-known classifiers: SVM, KNN, XGBoost, Decision Tree, Logistic Regression, Naïve Bayes, and Random Forest. The dataset included around 500 Bangladeshi university students who answered 29 questions. The collection comprises records with different properties. After preprocessing, the data were split into two sets: one for training and the other for testing. The classifiers were subsequently trained and tested. To identify the most suitable classifier for this problem, we thoroughly assessed the performance of all seven classifiers. Our findings indicate that XGBoost and Random Forest have 98.06% accuracy rate which is highly promising for predicting dropout rates. By utilizing machine learning to predict university dropout rates, early intervention, more effective resource allocation, and enhanced student support are made possible, which in turn improves retention rates, academic results and can be useful for developing the education system in the university of Bangladesh.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10797033,University students;Machine learning;Dropout prediction;Classifications,Training;Support vector machines;Logistic regression;Predictive models;Nearest neighbor methods;Planning;Resource management;Sustainable development;Random forests;Testing,1,IEEE Conferences,,"Ensino Superior, Socioeconômicos","Support Vector Machine, KNN, Decision Tree, Logistic Regression, Naive Bayes, Random Forest",Avaliação,Processo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística).,Dropout Prediction of University Students in Bangladesh using Machine Learning Technique,M. S. Mojumder Anik; S. Israt Zerin; U. Ayman; M. A. Muntakim; M. Atif Asif Khan Akash; M. H. Imam Bijoy,2025,"Nowadays, among Bangladesh's educational institutions, the number of university students dropping out is high. A high dropout rate is a problem that presents many negative consequences. It is an academic issue for university students, is a significant risk to local communities and countries and also carries an unfavorable economic impact. Dropout occurrences typically stem from either academic or personal factors. This study aims to find out the factor behind the high rate of semester dropout in Bangladesh as well as predict the precarious zone for dropout so that the massive rate of dropout can be stopped and to develop methodologies for detecting individuals who may be inclined to stop their academic pursuits. For effective dropout prediction, 301 data have gathered by surveying data by using google survey form keeping 25 questions from various universities in Bangladesh. For effective dropout prediction, several preprocessing techniques have been applied on collected data as well as KNN, Logistic Regression, Random Forest, XGBoost, LightGBM, AdaBoost, Bagging and SVM were applied on the preprocessed data. Among the models SVM and LightGBM performed better than all other working classifiers attaining 96% and 95% accuracy. Application of these studies supports University authorities in identifying early dropouts, refining academic policies to prevent dropouts and also enhancing student engagement, improving long-term institutional planning and resource optimization in universities.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11012934,Machine Learning;Dropout;prediction;feature selection,Support vector machines;Surveys;Logistic regression;Refining;Nearest neighbor methods;Feature extraction;Planning;Internet;Random forests;Optimization,,IEEE Conferences,,"Ensino Superior, Socioeconômicos","Support Vector Machine, KNN, XGBoost, Decision Tree, Logistic Regression, Naive Bayes, Random Forest, LightGBM",Avaliação,Processo
Identifica fatores que contribuem para evasão escolar utilizando Regressão Logística,Identifying Factors Contributing to University Dropout with Sparse Logistic Regression,G. Hori,2018,"Prediction and prevention of dropout are main challenges of institutional research (IR) in universities nowadays. If we can identify factors significantly contributing to dropout by statistical inference, then it is helpful for developing strategies for dropout prevention. The main problem in identifying such significant factors is that available data contain much more candidate factors than the students. Most of conventional statistical methods do not work well unless the number of data is much more than the number of parameters to be estimated, which means that we cannot apply such methods in identifying factors contributing to dropout. To circumvent the situation, we propose to use sparse logistic regression for identifying factors contributing to dropout based on data with a large number of candidate factors. Sparse logistic regression is a method that can analyze such data reliably by pruning factors that do not contribute to the analysis. To demonstrate how sparse logistic regression identifies factors contributing to dropout, we applied the method to actual university credit data of 410 students for 302 courses and identified 18 courses that significantly contribute to dropout. The contributions of the identified courses to dropout are interpreted.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8693424,"dropout,-sparse-logistic-regression",Logistics;Art;Training data;Bayes methods;Machine learning;Reliability;Regression analysis,5,IEEE Conferences,,Ensino Superior,"Baysian Networks, Logistic Regression",Proposta de Solução,Processo
2,Model for Prediction of Student Dropout in a Computer Science Course,A. G. Costa; J. C. B. Mattos; T. T. Primo; C. Cechinel; R. Muñoz,2021,"This work presents a model that can predict the student’s risk of dropout using data from the first three semesters attended by Computer Science Undergraduate students. Nowadays, Educational Management Systems store a large amount of data from the interaction of not only students and professors but also of students and the educational environment. Analyze and find patterns manually from a huge amount of data is hard, so Educational Data Mining (EDM) is widely used. This work uses the CRISP-DM methodology and data from Computer Science Undergraduate students from Federal University of Pelotas, Brazil. The results are shown for three algorithms: the Decision Tree algorithm presents a precision of 84.80%, a Recall of 85.80% and an AUC of 77.24%; the Random Forest algorithm presents a precision of 88.57%, a Recall of 90.14% and an AUC of 83.22%; the Logistic Regression algorithm presents a precision of 71.24%, a Recall of 94.28% and an AUC of 58.39%. The results indicate that it is possible to use a prediction model using only the data from the first three semesters of the course.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9725190,educational data mining;learning analytics;prediction techniques,Computer science;Analytical models;Computational modeling;Predictive models;Prediction algorithms;Data models;Data mining,2,IEEE Conferences,,"Ensino Superior, Socioeconômicos","Decision Tree, Random Forest, Logistic Regression",Avaliação,Modelo
"O foco principal não é na evasão, e sim na previsão de nota/performance. Ainda sim, aborda um comparativo entre Redes Neurais e Regressão Logística",Neural Network and Linear Regression methods for prediction of students' academic achievement,P. Mohd Arsad; N. Buniyamin; J. -l. Ab Manan,2014,Prediction of students' academic performance is very crucial to any university management to reduce the rate of attrition among students upon graduation. This paper describes a Neural Network (NN) Prediction model that is used to predict the academic performance of students. The outcomes of this model are then compared to results using Linear Regression (LR). This paper presents a comparison study between the effects of fundamental subjects and English courses on the overall final performance of students. The study was carried out at Universiti Teknologi Mara (UiTM) Malaysia. Grade Points (GP) of students' fundamental subjects results were used as independent variables or input predictor variables while CGPA in the final semester that is at semester eight is used as the output or the dependent variable. Performances of the models were measured using the coefficient of Correlation R and that of Mean Square Error (MSE). The outcomes of the study from both models indicate a strong correlation between fundamental results for core subjects with the final CGPA. English courses had little effects on the final CGPA.,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6826206,Prediction;Engineering fundamentals;academic achievement;ANN;LR;English,Artificial neural networks;Data models;Predictive models;Correlation;Educational institutions;Training;Linear regression,16,IEEE Conferences,,Ensino Superior,Neural Network,Avaliação,Modelo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística e Redes Neurais),Perspectives to Predict Dropout in University Students with Machine Learning,M. Solis; T. Moreira; R. Gonzalez; T. Fernandez; M. Hernandez,2018,"This study analyzes the performance of four machine learning algorithms with different perspectives for defining data files, in the prediction of university student desertion. The algorithms used were: Random Forest, Neural Networks, Support Vector Machines and Logistic Regression. It was found that the Random Forest algorithm with 10 variables randomly sampled as candidates in each division, was the best for predicting dropouts and that the ideal perspective for training the algorithm is to use information on all semesters that students take within a given period of time, using a classification variable that defines the non-dropout as the graduated student. In a first validation sample, this approach correctly predicted 91% of dropouts, with a sensitivity of 87%.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8464191,Dropout;university students;machine learning,Prediction algorithms;Support vector machines;Machine learning algorithms;Forestry;Sensitivity;Training;Artificial neural networks,30,IEEE Conferences,,"Socioeconômicos, Ensino Superior","Random Forest, Support Vector Machine, Neural Network, Logistic Regression",Avaliação,Modelo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística),Predicting College Dropout Rates using Machine Learning: A Student Success Initiative,P. Karpagalakshmi; S. R. Dhanashree; M. A. Wahidh; A. Rajesh,2024,"A student who departs from a college without completing a mandatory credit course is referred to as a “dropout”. College dropout rates are a major global problem, with over 40% of students abandoning their studies before completing their degrees. This can have an impact on an individual's life and well-being of society. Machine learning has the potential to reduce college dropout rates by predicting which students are at risk of dropping out and providing them with early intervention support. We have identified and framed the features of the dataset into Academic, Demographic and Socioeconomic features and the ensembled output from these modules have been combined to predict the final dropout. We have used SVM model to train, evaluate and predict the dropout rates with 91.61% of accuracy.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10560384,machine learning;student dropout prediction;student success initiative;global,Support vector machines;Surveys;Measurement;Logistic regression;Shape;Decision making;Predictive models,1,IEEE Conferences,,"Ensino Superior, Socioeconômicos","Logistic Regression, Support Vector Machine",Avaliação,Modelo
O foco principal é a predição da evasão universitária fazendo um comparativo entre os modelos (dentre eles Regressão Logística),Predicting Student Attrition: A Case Study of the University of Namibia Bachelor of Accounting (Chartered Accountancy) Programme,S. N. Nakale; L. M. Amugongo,2023,"Understanding the reasons behind student attrition is essential to developing retention strategies. In this study, we developed models to predict student attrition for the Chartered Accountancy programme at the University of Namibia (UNAM). Three hundred and eighty-nine records of accounting students were collected from the UNAM student database. We applied five classification machine learning algorithms: logistic regression (LR), support vector machines (SVM), k-nearest neighbors (k-NN), decision trees (DT) and Gaussian Naive Bayes (GNB) to identify patterns in student attrition. After, accuracy, specificity, sensitivity, F-measure and Area Under Curve were computed to measure the performance of each model. Finally, Shapley additive explanations (SHAP) was used to determine how variables influenced model prediction. The LR, k-NN, DT, SVM and GNB achieved an accuracy of 80.3%, 73.8%, 82%, 80.3% and 77%, respectively. Overall, the DT classifier performed the best at predicting student attrition. We found that academic performance in year 1 core modules: financial accounting A and financial accounting B were the most important features, on average contributing the most to the predicted probability of dropping out. We have demonstrated that it is feasible to predict students who are likely to abandon their studies while in their first year. The major difference between our study and previous studies is that we do not focus on traditional studied areas (science, technology, engineering and mathematics). In this study, we developed predictive models to identify student attrition in the bachelor of accounting program in a Namibian university.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10284930,accounting students;student attrition;machine learning;prediction;retention,Support vector machines;Logistic regression;Sensitivity;Machine learning algorithms;Computational modeling;Gaussian processes;Predictive models,,IEEE Conferences,,"Ensino Médio, Ensino Superior, Socioeconômicos",Logistic Regression,Avaliação,Modelo
